date,time,area,registration_url
"10/22/2024","10 am ET/9 am CT","SC, GA & FL","https://doitalent.zoomgov.com/meeting/register/vJIsdemupzMsEu0Xys7l4GYQptNrktmVaMg"
"10/23/2024","10 am ET/9 am CT","TX & OK","https://doitalent.zoomgov.com/meeting/register/vJItf-irpjwpGCysqxKpbmzZ6_1Ec9Smvls"
