name,title,photo,notes,chair
"Nicole Angeli","U.S. Virgin Islands Dept. of Planning and Natural Resources","Nicole_Angeli_300px.jpg",,true
"Donald 'Duck' Locascio","Forestry Program Manager, Louisiana Department of Wildlife and Fisheries","Donald_Locascio_300px.jpg","Duck Locascio serves on behalf of Tyler Bosworth, Secretary, Louisiana Department of Wildlife and Fisheries.",false
"Jason Sumners","Director, Missouri Department of Conservation","Jason_Sumners_300px.jpg",,false
"Kyle Briggs","Executive Director, North Carolina Wildlife Resources Commission","Kyle_Briggs_300px.jpg",,false
"Paul Johansen","Chief, Wildlife Resources Section, West Virginia Division of Natural Resources","Paul_Johansen_300px.jpg",,false
"Mike Oetker","Southeast Regional Director, U.S. Fish and Wildlife Service Interior Regions 2 & 4","Mike_Oetker_300px.jpg",,false
